upgrade_id,building_type,town_hall_level,current_level,builder_boost_percent,builder_count,upgrade_cost_elixir,upgrade_time_hours
1,Wizard Tower,1,4,50,2,114000,9.19
2,Air Defense,7,10,30,2,1191000,68.22
3,Cannon,14,15,0,1,1292000,80.54
4,Archer Tower,8,13,50,2,876000,41.39
5,Dark Elixir Storage,11,4,50,6,482000,24.51
6,Cannon,12,8,20,6,429000,25.55
7,Dark Barracks,7,4,30,1,201000,20.52
8,Elixir Storage,1,5,50,4,155000,9.72
9,Wizard Tower,13,12,0,1,1192000,91.3
10,Air Defense,1,6,20,6,418000,25.85
11,Gold Storage,13,11,30,5,789000,50.01
12,Archer Tower,9,3,0,6,77000,7.34
13,Air Defense,11,3,30,5,188000,14.05
14,Barracks,3,8,20,1,284000,19.05
15,Archer Tower,6,11,50,5,553000,30.24
16,Cannon,6,4,20,3,106000,8.71
17,Wizard Tower,5,10,50,2,693000,40.28
18,Cannon,3,8,50,1,272000,16.55
19,Army Camp,1,6,0,1,201000,19.25
20,Barracks,9,14,30,4,941000,47.28
21,Cannon,10,8,10,3,367000,26.46
22,Spell Factory,13,2,10,3,142000,12.31
23,Spell Factory,13,3,50,3,294000,17.6
24,Gold Storage,5,4,30,4,128000,9.04
25,Spell Factory,6,3,25,5,217000,16.17
26,Army Camp,15,4,50,3,176000,13.86
27,Dark Barracks,6,3,30,5,120000,12.67
28,Archer Tower,8,1,30,2,11000,2.57
29,Air Defense,11,1,20,5,38000,4.26
30,Cannon,1,6,30,1,147000,12.02
31,Barracks,10,2,10,4,40000,4.69
32,Wizard Tower,12,16,30,3,2025000,107.59
33,Dark Barracks,13,10,25,1,1168000,93.45
34,Wizard Tower,13,7,30,1,496000,32.73
35,Wizard Tower,12,1,50,6,28000,2.85
36,Gold Storage,10,7,0,6,375000,26.61
37,Cannon,7,8,20,6,355000,22.03
38,Cannon,7,3,10,3,68000,6.67
39,Gold Storage,11,10,30,1,652000,44.32
40,Laboratory,12,10,10,5,752000,50.06
41,Air Defense,13,6,0,4,693000,44.35
42,Dark Barracks,4,3,30,6,116000,11.63
43,Barracks,12,2,25,5,37000,4.41
44,Army Camp,10,5,50,1,250000,16.35
45,Archer Tower,13,7,0,2,318000,27.06
46,Army Camp,9,2,30,1,51000,5.37
47,Barracks,8,13,20,6,790000,43.0
48,Dark Elixir Storage,7,1,30,4,49000,4.27
49,Cannon,5,10,50,4,493000,25.59
50,Air Defense,10,1,10,5,36000,4.25
51,Barracks,16,11,10,2,690000,46.96
52,Air Defense,4,2,25,4,77000,6.92
53,Spell Factory,14,2,0,3,145000,13.46
54,Spell Factory,4,1,20,3,41000,4.09
55,Air Defense,11,9,25,5,1354000,66.28
56,Wizard Tower,8,5,25,2,246000,18.08
57,Barracks,7,3,50,6,67000,4.93
58,Army Camp,10,12,10,2,1072000,70.93
59,Cannon,3,8,25,1,273000,19.27
60,Spell Factory,8,4,20,1,376000,27.02
61,Spell Factory,7,4,50,3,381000,22.27
62,Wizard Tower,3,8,10,6,407000,30.4
63,Spell Factory,5,4,20,2,326000,23.75
64,Cannon,15,14,20,6,1197000,64.7
65,Laboratory,4,9,30,1,492000,30.91
66,Archer Tower,1,1,10,1,9000,2.58
67,Gold Storage,16,13,10,3,1391000,78.74
68,Gold Storage,2,7,0,5,265000,20.63
69,Gold Storage,12,13,30,4,1031000,61.27
70,Dark Barracks,9,2,20,6,69000,8.79
71,Wizard Tower,16,12,10,6,1356000,87.54
72,Dark Barracks,13,8,30,4,776000,66.58
73,Cannon,4,9,10,1,410000,25.3
74,Wizard Tower,1,6,50,5,258000,14.58
75,Air Defense,12,5,10,5,459000,32.18
76,Barracks,16,1,20,4,14000,2.86
77,Elixir Storage,12,11,0,2,877000,58.37
78,Laboratory,9,13,10,6,1141000,70.81
79,Barracks,13,4,50,6,135000,8.58
80,Gold Storage,10,9,50,5,573000,30.89
81,Elixir Storage,14,1,25,4,17000,3.08
82,Army Camp,4,9,10,3,486000,37.5
83,Wizard Tower,5,5,20,5,197000,16.25
84,Dark Barracks,13,4,10,1,252000,26.83
85,Dark Elixir Storage,9,8,50,5,1379000,64.43
86,Elixir Storage,4,5,25,4,157000,12.75
87,Spell Factory,7,6,0,4,651000,52.05
88,Cannon,10,15,20,3,1156000,63.68
89,Laboratory,14,10,50,2,776000,47.75
90,Laboratory,2,7,25,2,308000,21.23
91,Dark Barracks,9,4,30,2,199000,19.99
92,Dark Elixir Storage,7,10,25,2,1861000,100.13
93,Wizard Tower,1,6,50,4,218000,15.1
94,Dark Elixir Storage,12,8,20,5,1325000,81.67
95,Army Camp,11,11,30,3,856000,58.11
96,Laboratory,12,1,30,5,21000,2.83
97,Air Defense,9,3,25,2,171000,13.33
98,Cannon,13,9,0,3,529000,38.73
99,Wizard Tower,9,13,50,4,1106000,61.91
100,Army Camp,1,6,10,2,204000,18.03
101,Laboratory,6,8,0,1,421000,32.84
102,Spell Factory,13,4,20,3,402000,30.65
103,Elixir Storage,13,7,25,3,394000,26.19
104,Laboratory,7,12,25,5,858000,55.36
105,Elixir Storage,1,6,30,1,177000,14.72
106,Dark Elixir Storage,10,10,20,3,1940000,112.85
107,Dark Barracks,11,2,25,1,68000,8.81
108,Archer Tower,12,6,25,1,239000,17.48
109,Dark Elixir Storage,7,7,25,2,1048000,55.83
110,Dark Elixir Storage,12,2,10,2,140000,12.11
111,Gold Storage,8,1,0,5,15000,3.05
112,Laboratory,14,12,0,3,1151000,76.92
113,Elixir Storage,9,11,10,1,694000,53.35
114,Wizard Tower,14,4,50,1,206000,14.51
115,Laboratory,13,12,50,3,1071000,57.71
116,Air Defense,16,1,25,1,43000,4.34
117,Elixir Storage,14,16,10,4,1852000,100.24
118,Elixir Storage,12,13,50,6,1177000,58.22
119,Cannon,4,9,25,3,356000,23.71
120,Dark Barracks,7,7,30,4,533000,44.06
121,Archer Tower,14,19,0,1,2062000,116.65
122,Archer Tower,9,3,25,5,77000,6.68
123,Dark Elixir Storage,7,9,0,3,1394000,90.74
124,Dark Barracks,15,10,30,4,1195000,98.83
125,Dark Barracks,3,1,10,4,21000,3.87
126,Elixir Storage,4,9,10,4,420000,30.12
127,Army Camp,8,6,20,1,305000,22.18
128,Barracks,13,13,50,1,834000,45.07
129,Dark Elixir Storage,8,8,20,3,1233000,74.6
130,Wizard Tower,12,16,0,5,2041000,120.93
131,Barracks,3,8,0,2,287000,19.93
132,Dark Barracks,9,7,50,2,492000,42.79
133,Archer Tower,10,12,50,6,770000,38.42
134,Dark Barracks,7,10,10,4,825000,82.56
135,Laboratory,13,9,30,2,707000,42.88
136,Wizard Tower,1,4,10,6,121000,10.65
137,Elixir Storage,14,11,20,3,970000,56.6
138,Air Defense,9,4,50,5,276000,17.92
139,Cannon,15,9,25,1,505000,34.64
140,Elixir Storage,14,2,20,1,52000,5.93
141,Dark Elixir Storage,7,5,25,5,555000,33.38
142,Wizard Tower,6,11,25,1,830000,50.71
143,Elixir Storage,12,3,50,3,102000,7.07
144,Gold Storage,10,14,10,2,1217000,78.79
145,Laboratory,8,2,25,4,50000,5.16
146,Wizard Tower,2,7,30,6,341000,22.36
147,Spell Factory,15,4,0,4,449000,38.31
148,Barracks,8,5,10,6,153000,11.87
149,Elixir Storage,9,6,30,3,251000,18.32
150,Spell Factory,3,7,10,5,734000,49.94
151,Laboratory,3,6,50,3,252000,14.75
152,Air Defense,5,10,0,3,1183000,75.86
153,Dark Elixir Storage,11,4,10,5,468000,28.54
154,Air Defense,3,3,20,2,153000,11.8
155,Spell Factory,8,7,10,2,944000,67.57
