temperature_c,humidity_percent,time_of_day_hours,perfect_order
16,36,7,Ginger tea
29,20,12,Plain chai
38,70,17,Elaichi chai
24,64,11,Plain chai
20,23,9,Plain chai
17,81,12,Masala chai
38,84,21,Masala chai
30,51,19,Plain chai
16,53,18,Elaichi chai
35,58,9,Plain chai
28,45,21,Plain chai
32,53,7,Plain chai
20,73,15,Elaichi chai
20,22,17,Elaichi chai
33,69,12,Plain chai
30,31,13,Plain chai
13,84,7,Ginger tea
17,73,10,Ginger tea
33,24,6,Kiwi tea
12,76,12,Masala chai
31,36,13,Kiwi tea
30,66,18,Elaichi chai
11,42,21,Plain chai
33,33,11,Kiwi tea
21,85,10,Masala chai
39,70,20,Plain chai
15,57,11,Plain chai
11,83,20,Masala chai
37,57,7,Plain chai
30,69,6,Plain chai
10,49,12,Plain chai
21,70,12,Plain chai
35,82,15,Masala chai
31,71,16,Elaichi chai
38,57,15,Elaichi chai
21,49,19,Plain chai
34,70,7,Plain chai
26,24,7,Plain chai
36,48,6,Kiwi tea
36,23,15,Kiwi tea
19,29,13,Plain chai
37,75,20,Plain chai
37,36,13,Kiwi tea
25,36,6,Plain chai
24,88,17,Masala chai
39,53,16,Elaichi chai
39,25,13,Kiwi tea
24,72,14,Plain chai
39,85,19,Masala chai
28,62,9,Plain chai
21,42,6,Plain chai
32,74,6,Plain chai
29,35,8,Plain chai
34,27,20,Kiwi tea
12,23,21,Plain chai
14,23,19,Plain chai
28,75,10,Plain chai
16,44,21,Plain chai
30,86,10,Masala chai
18,86,14,Masala chai
16,46,15,Elaichi chai
27,51,19,Plain chai
13,69,17,Elaichi chai
34,80,7,Masala chai
37,70,7,Plain chai
23,38,21,Plain chai
27,40,11,Plain chai
35,24,20,Kiwi tea
18,61,14,Plain chai
35,80,6,Masala chai
30,41,14,Plain chai
11,40,14,Plain chai
29,89,21,Masala chai
37,20,18,Kiwi tea
24,24,14,Plain chai
37,31,10,Kiwi tea
16,65,18,Elaichi chai
21,53,20,Plain chai
38,68,14,Plain chai
17,64,16,Elaichi chai
24,46,9,Plain chai
12,45,7,Ginger tea
23,66,18,Elaichi chai
26,75,11,Plain chai
13,82,19,Masala chai
27,67,9,Plain chai
17,80,11,Masala chai
13,45,8,Ginger tea
11,55,11,Plain chai
39,20,7,Kiwi tea
15,27,7,Ginger tea
31,71,18,Elaichi chai
19,66,14,Plain chai
13,75,12,Plain chai
31,33,8,Kiwi tea
38,47,18,Kiwi tea
27,21,16,Elaichi chai
35,45,6,Kiwi tea
21,33,13,Plain chai
11,78,19,Masala chai
19,75,11,Plain chai
39,26,12,Kiwi tea
13,22,14,Plain chai
23,42,10,Plain chai
25,37,20,Plain chai
24,57,6,Plain chai
17,34,17,Elaichi chai
23,83,15,Masala chai
32,47,12,Kiwi tea
37,58,20,Plain chai
34,76,10,Masala chai
39,36,8,Kiwi tea
17,63,17,Elaichi chai
30,44,18,Elaichi chai
25,36,14,Plain chai
22,32,6,Plain chai
27,44,6,Plain chai
24,87,21,Masala chai
30,29,6,Plain chai
33,86,8,Masala chai
35,37,17,Kiwi tea
34,53,11,Plain chai
37,27,15,Kiwi tea
37,59,16,Elaichi chai
37,61,8,Plain chai
22,60,13,Plain chai
18,25,19,Plain chai
38,71,19,Plain chai
24,45,15,Elaichi chai
22,83,7,Masala chai
10,78,19,Masala chai
34,75,14,Plain chai
16,78,8,Ginger tea
18,89,10,Masala chai
33,52,15,Elaichi chai
10,72,13,Plain chai
21,41,21,Plain chai
17,40,7,Ginger tea
33,89,11,Masala chai
20,89,17,Masala chai
28,23,10,Plain chai
26,81,18,Masala chai
17,81,15,Masala chai
12,43,14,Plain chai
12,74,17,Elaichi chai
10,28,10,Ginger tea
36,22,7,Kiwi tea
14,50,21,Plain chai
19,59,10,Plain chai
16,55,20,Plain chai
35,43,17,Kiwi tea
18,25,9,Plain chai
37,85,20,Masala chai
16,23,16,Elaichi chai
18,25,21,Plain chai
17,70,12,Plain chai
21,81,11,Masala chai
11,76,19,Masala chai
10,85,7,Ginger tea
25,27,17,Elaichi chai
32,45,16,Kiwi tea
32,70,16,Elaichi chai
39,64,18,Elaichi chai
33,63,10,Plain chai
14,24,12,Plain chai
12,89,16,Masala chai
21,45,12,Plain chai
17,87,21,Masala chai
31,38,20,Kiwi tea
36,39,10,Kiwi tea
12,31,17,Elaichi chai
10,66,20,Plain chai
12,20,14,Plain chai
14,33,9,Ginger tea
24,83,16,Masala chai
23,57,8,Plain chai
12,56,20,Plain chai
10,30,9,Ginger tea
14,22,10,Ginger tea
35,52,18,Elaichi chai
32,25,11,Kiwi tea
23,69,8,Plain chai
16,29,7,Ginger tea
36,24,19,Kiwi tea
18,42,18,Elaichi chai
24,29,9,Plain chai
24,63,21,Plain chai
35,21,10,Kiwi tea
19,32,9,Plain chai
37,59,19,Plain chai
22,21,16,Elaichi chai
